,method,r2,clusters
0,hclust,0.6190795723346729,2
1,hclust,0.8034594403469062,3
2,hclust,0.8969033804432439,4
3,hclust,0.9187379315940809,5
4,hclust,0.9479261247323476,6
5,hclust,0.968667986145627,7
6,hclust,0.9769174483405979,8
7,hclust,0.9834469122465737,9
8,kmeans,0.5975991872154008,2
9,kmeans,0.809394573121886,3
10,kmeans,0.8969033804432439,4
11,kmeans,0.9247655220471565,5
12,kmeans,0.9420921376156202,6
13,kmeans,0.9603609485541864,7
14,kmeans,0.9755258155086327,8
15,kmeans,0.9860772883228397,9
