merged_labels,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic
0A,41.93574297188755,11.572958500669344,24.327978580990628,11.333333333333334,10.80722891566265,35.99196787148595
0B,41.75478260869565,8.724347826086957,31.81304347826087,8.801739130434783,8.89304347826087,14.144347826086957
0C,61.13784246575342,4.112157534246576,26.409246575342465,4.085616438356165,4.217465753424658,18.77568493150685
1A,42.64627659574468,11.206117021276595,23.69813829787234,11.263297872340425,11.202127659574469,36.46675531914894
1B,42.65134431916739,8.758022549869905,30.766695576756288,9.167389418907199,8.676496097137901,14.271465741543798
1C,62.07477341389728,3.8799093655589125,25.941842900302113,3.9206948640483383,4.120845921450151,17.95845921450151
2A,44.632183908045974,10.505747126436782,25.7816091954023,9.735632183908047,9.31800766283525,15.206896551724139
2B,45.7633209417596,6.736059479553903,34.15861214374225,6.8091697645600995,6.526641883519207,7.214374225526642
2C,60.696883852691215,3.8399433427762037,28.011331444759207,3.677053824362606,3.7535410764872523,7.494334277620396
3A,42.836363636363636,10.436363636363636,25.465454545454545,10.701818181818181,10.545454545454545,14.069090909090908
3B,46.29097387173397,6.918052256532066,33.228028503562946,7.103325415676959,6.425178147268409,7.153206650831354
3C,60.094750320102435,4.071702944942381,28.299615877080665,3.6965428937259923,3.765685019206146,7.558258642765685
